year,district,weeks,vol_total,price_total,weather,iceberg_vol,iceberg_price,romaine_vol,romaine_price,green_leaf_vol,green_leaf_price,red_leaf_vol,red_leaf_price,boston_vol,boston_price
2010,Salinas-Watsonville,38,38,34,38,36,30,37,34,37,33,37,33,34,32
2010,Western Arizona,26,26,8,26,26,8,26,7,23,7,23,7,23,7
2010,Imperial Valley,23,23,6,23,22,6,23,6,22,6,22,6,20,6
2010,Santa Maria,44,44,35,44,42,35,41,33,40,33,39,33,20,0
2010,Oxnard,52,52,13,52,2,0,52,13,51,13,41,13,0,0
2010,San Joaquin Valley,18,18,10,18,16,10,14,4,13,4,13,4,13,4
2011,Salinas-Watsonville,38,38,34,38,35,32,38,34,37,34,37,34,35,34
2011,Western Arizona,25,25,22,25,25,22,25,21,25,21,25,21,23,21
2011,Imperial Valley,25,25,20,25,23,18,24,20,23,19,22,19,22,18
2011,Santa Maria,43,43,33,43,38,32,43,32,43,33,43,33,4,0
2011,Oxnard,52,52,35,52,11,0,52,35,47,35,46,35,0,0
2011,San Joaquin Valley,18,18,12,18,14,12,17,5,13,5,13,5,12,5
2012,Salinas-Watsonville,38,38,34,38,34,31,38,34,36,33,35,33,36,33
2012,Western Arizona,25,25,24,25,25,24,25,21,24,20,24,20,24,20
2012,Imperial Valley,23,23,21,23,23,18,21,21,21,20,21,20,20,18
2012,Santa Maria,44,44,34,44,37,34,43,34,41,34,40,34,1,0
2012,Oxnard,52,52,39,52,32,0,52,39,52,39,43,39,0,0
2012,San Joaquin Valley,14,14,10,14,12,10,13,8,12,5,12,5,11,4
2013,Salinas-Watsonville,38,38,33,38,33,30,38,33,36,33,36,33,36,31
2013,Western Arizona,26,26,24,26,26,24,25,22,25,22,25,22,24,22
2013,Imperial Valley,22,22,19,22,22,18,22,19,22,17,22,18,21,17
2013,Santa Maria,40,40,32,40,37,32,40,32,38,32,35,29,11,0
2013,Oxnard,53,53,37,53,28,0,53,37,53,37,44,37,0,0
2013,San Joaquin Valley,13,13,11,13,12,10,12,4,13,5,13,5,12,4
2014,Salinas-Watsonville,39,39,34,39,34,32,39,34,36,34,36,34,35,33
2014,Western Arizona,26,26,23,26,25,23,26,21,25,21,25,21,22,19
2014,Imperial Valley,23,23,18,23,21,16,22,18,20,12,20,16,19,17
2014,Santa Maria,40,40,35,40,37,35,39,34,37,32,37,30,0,0
2014,Oxnard,52,52,36,52,20,0,52,36,52,35,44,35,0,0
2014,San Joaquin Valley,14,14,9,14,12,8,13,6,14,4,13,4,12,3
2015,Salinas-Watsonville,39,39,36,39,34,32,39,36,38,36,38,36,37,33
2015,Western Arizona,25,25,23,25,24,23,24,21,25,21,24,21,23,21
2015,Imperial Valley,22,22,18,22,18,16,22,17,21,17,21,16,21,14
2015,Santa Maria,44,44,36,44,42,35,43,36,39,36,39,35,1,0
2015,Oxnard,52,52,39,52,13,0,52,39,52,36,43,36,0,0
2015,San Joaquin Valley,13,13,9,13,11,9,12,2,11,2,12,2,10,0
2016,Salinas-Watsonville,40,40,35,40,35,33,40,35,38,35,38,35,36,35
2016,Western Arizona,30,30,23,30,25,23,30,23,25,23,25,23,24,22
2016,Imperial Valley,22,22,20,22,19,18,22,20,21,20,21,18,21,16
2016,Santa Maria,45,45,36,45,39,36,45,36,38,36,38,35,0,0
