week_ending,volume,price,coverage,n_districts,tmax_avg,tmin_avg,tmean_avg,ppt_total,diurnal_range,extreme_heat,freeze_risk,heavy_rain,dd_heat,dd_freeze,year,month,week_of_year,is_partial_year,price_spike,low_supply,volume_lag1,price_lag1,tmax_lag1,ppt_lag1,volume_lag2,price_lag2,tmax_lag2,ppt_lag2,volume_lag4,price_lag4,tmax_lag4,ppt_lag4,volume_roll4_mean,tmax_avg_roll4_mean,ppt_total_roll4_mean
2010-01-05,2490.0,,0.0,3,21.35,7.22,14.29,0.0,14.12,0,0,0,0.0,0.0,2010,1,1,0,0,0,,,,,,,,,,,,,,,
2010-01-12,4945.0,,0.0,3,22.61,7.46,15.03,0.0,15.15,0,0,0,0.0,0.0,2010,1,2,0,0,0,2490.0,,21.35,0.0,,,,,,,,,3717.5,21.98,0.0
2010-01-19,5024.0,,0.0,2,22.88,9.53,16.2,1.623,13.34,0,0,0,0.0,0.0,2010,1,3,0,0,0,4945.0,,22.61,0.0,2490.0,,21.35,0.0,,,,,4153.0,22.28,0.541
2010-01-26,3400.0,,0.0,2,17.46,6.79,12.12,80.523,10.67,0,0,1,0.0,0.0,2010,1,4,0,0,0,5024.0,,22.88,1.623,4945.0,,22.61,0.0,,,,,3964.75,21.075,20.5365
2010-02-02,4434.0,,0.0,2,20.41,8.74,14.57,0.0,11.66,0,0,0,0.0,0.0,2010,2,5,0,0,0,3400.0,,17.46,80.523,5024.0,,22.88,1.623,2490.0,,21.35,0.0,4450.75,20.84,20.5365
2010-02-09,5054.0,,0.0,2,20.32,8.71,14.51,3.103,11.61,0,0,0,0.0,0.0,2010,2,6,0,0,0,4434.0,,20.41,0.0,3400.0,,17.46,80.523,4945.0,,22.61,0.0,4478.0,20.2675,21.31225
2010-02-16,4343.0,,0.0,2,21.8,8.38,15.09,9.997,13.42,0,0,0,0.0,0.0,2010,2,7,0,0,0,5054.0,,20.32,3.103,4434.0,,20.41,0.0,5024.0,,22.88,1.623,4307.75,19.997500000000002,23.405749999999998
2010-02-23,4148.0,,0.0,2,23.46,10.32,16.89,1.413,13.14,0,0,0,0.0,0.0,2010,2,8,0,0,0,4343.0,,21.8,9.997,5054.0,,20.32,3.103,3400.0,,17.46,80.523,4494.75,21.4975,3.62825
2010-03-02,4390.0,,0.0,2,22.97,9.27,16.12,2.534,13.7,0,0,0,0.0,0.0,2010,3,9,0,0,0,4148.0,,23.46,1.413,4343.0,,21.8,9.997,4434.0,,20.41,0.0,4483.75,22.1375,4.26175
2010-03-09,5043.0,,0.0,2,21.38,9.68,15.53,17.192,11.7,0,0,0,0.0,0.0,2010,3,10,0,0,0,4390.0,,22.97,2.534,4148.0,,23.46,1.413,5054.0,,20.32,3.103,4481.0,22.402499999999996,7.784000000000001
