week_ending,region,origin,district,commodity,volumes
2010-01-05,Arizona,Arizona,Central Arizona,"Lettuce, Green Leaf",5.0
2010-01-05,Arizona,Arizona,Western Arizona,"Lettuce, Boston",25.0
2010-01-05,Arizona,Arizona,Western Arizona,"Lettuce, Green Leaf",155.0
2010-01-05,Arizona,Arizona,Western Arizona,"Lettuce, Iceberg",1845.0
2010-01-05,Arizona,Arizona,Western Arizona,"Lettuce, Red Leaf",105.0
2010-01-05,Arizona,Arizona,Western Arizona,"Lettuce, Romaine",871.0
2010-01-05,California,California-south,Coachella Valley,"Lettuce, Boston",9.0
2010-01-05,California,California-south,Coachella Valley,"Lettuce, Green Leaf",35.0
2010-01-05,California,California-south,Coachella Valley,"Lettuce, Red Leaf",21.0
2010-01-05,California,California-south,Coachella Valley,"Lettuce, Romaine",169.0
2010-01-05,California,California-imperial Val,Imperial Valley,"Lettuce, Boston",3.0
2010-01-05,California,California-imperial Val,Imperial Valley,"Lettuce, Green Leaf",22.0
2010-01-05,California,California-imperial Val,Imperial Valley,"Lettuce, Iceberg",572.0
2010-01-05,California,California-imperial Val,Imperial Valley,"Lettuce, Red Leaf",14.0
2010-01-05,California,California-imperial Val,Imperial Valley,"Lettuce, Romaine",134.0
2010-01-05,California,California-south,Oxnard,"Lettuce, Green Leaf",11.0
2010-01-05,California,California-south,Oxnard,"Lettuce, Red Leaf",5.0
2010-01-05,California,California-south,Oxnard,"Lettuce, Romaine",59.0
2010-01-05,California,California-south,Palo Verde Valley,"Lettuce, Green Leaf",0.0
2010-01-05,California,California-south,Palo Verde Valley,"Lettuce, Iceberg",33.0
2010-01-05,California,California-south,Palo Verde Valley,"Lettuce, Romaine",2.0
2010-01-05,California,California-central,Santa Maria,"Lettuce, Iceberg",40.0
2010-01-12,Arizona,Arizona,Central Arizona,"Lettuce, Green Leaf",1.0
2010-01-12,Arizona,Arizona,Western Arizona,"Lettuce, Boston",64.0
2010-01-12,Arizona,Arizona,Western Arizona,"Lettuce, Green Leaf",280.0
2010-01-12,Arizona,Arizona,Western Arizona,"Lettuce, Iceberg",3586.0
2010-01-12,Arizona,Arizona,Western Arizona,"Lettuce, Red Leaf",183.0
2010-01-12,Arizona,Arizona,Western Arizona,"Lettuce, Romaine",1829.0
2010-01-12,California,California-south,Coachella Valley,"Lettuce, Boston",20.0
2010-01-12,California,California-south,Coachella Valley,"Lettuce, Green Leaf",60.0
2010-01-12,California,California-south,Coachella Valley,"Lettuce, Red Leaf",40.0
2010-01-12,California,California-south,Coachella Valley,"Lettuce, Romaine",314.0
2010-01-12,California,California-imperial Val,Imperial Valley,"Lettuce, Boston",5.0
2010-01-12,California,California-imperial Val,Imperial Valley,"Lettuce, Green Leaf",44.0
2010-01-12,California,California-imperial Val,Imperial Valley,"Lettuce, Iceberg",1196.0
2010-01-12,California,California-imperial Val,Imperial Valley,"Lettuce, Red Leaf",25.0
2010-01-12,California,California-imperial Val,Imperial Valley,"Lettuce, Romaine",293.0
2010-01-12,California,California-south,Oxnard,"Lettuce, Green Leaf",20.0
2010-01-12,California,California-south,Oxnard,"Lettuce, Red Leaf",12.0
2010-01-12,California,California-south,Oxnard,"Lettuce, Romaine",110.0
2010-01-12,California,California-south,Palo Verde Valley,"Lettuce, Green Leaf",0.0
2010-01-12,California,California-south,Palo Verde Valley,"Lettuce, Iceberg",113.0
2010-01-12,California,California-south,Palo Verde Valley,"Lettuce, Romaine",1.0
2010-01-12,California,California-central,Santa Maria,"Lettuce, Iceberg",50.0
2010-01-19,Arizona,Arizona,Central Arizona,"Lettuce, Green Leaf",0.0
2010-01-19,Arizona,Arizona,Western Arizona,"Lettuce, Boston",34.0
2010-01-19,Arizona,Arizona,Western Arizona,"Lettuce, Green Leaf",315.0
2010-01-19,Arizona,Arizona,Western Arizona,"Lettuce, Iceberg",3625.0
2010-01-19,Arizona,Arizona,Western Arizona,"Lettuce, Red Leaf",188.0
2010-01-19,Arizona,Arizona,Western Arizona,"Lettuce, Romaine",1887.0
2010-01-19,California,California-south,Coachella Valley,"Lettuce, Boston",46.0
2010-01-19,California,California-south,Coachella Valley,"Lettuce, Green Leaf",70.0
2010-01-19,California,California-south,Coachella Valley,"Lettuce, Red Leaf",59.0
2010-01-19,California,California-south,Coachella Valley,"Lettuce, Romaine",255.0
2010-01-19,California,California-imperial Val,Imperial Valley,"Lettuce, Boston",5.0
2010-01-19,California,California-imperial Val,Imperial Valley,"Lettuce, Green Leaf",39.0
2010-01-19,California,California-imperial Val,Imperial Valley,"Lettuce, Iceberg",1278.0
2010-01-19,California,California-imperial Val,Imperial Valley,"Lettuce, Red Leaf",21.0
2010-01-19,California,California-imperial Val,Imperial Valley,"Lettuce, Romaine",298.0
2010-01-19,California,California-south,Oxnard,"Lettuce, Green Leaf",23.0
2010-01-19,California,California-south,Oxnard,"Lettuce, Red Leaf",13.0
2010-01-19,California,California-south,Oxnard,"Lettuce, Romaine",105.0
2010-01-19,California,California-south,Palo Verde Valley,"Lettuce, Green Leaf",1.0
2010-01-19,California,California-south,Palo Verde Valley,"Lettuce, Iceberg",121.0
2010-01-19,California,California-south,Palo Verde Valley,"Lettuce, Romaine",3.0
2010-01-26,Arizona,Arizona,Central Arizona,"Lettuce, Green Leaf",0.0
2010-01-26,Arizona,Arizona,Western Arizona,"Lettuce, Boston",39.0
2010-01-26,Arizona,Arizona,Western Arizona,"Lettuce, Green Leaf",300.0
2010-01-26,Arizona,Arizona,Western Arizona,"Lettuce, Iceberg",2637.0
2010-01-26,Arizona,Arizona,Western Arizona,"Lettuce, Red Leaf",200.0
2010-01-26,Arizona,Arizona,Western Arizona,"Lettuce, Romaine",1572.0
2010-01-26,California,California-south,Coachella Valley,"Lettuce, Boston",23.0
2010-01-26,California,California-south,Coachella Valley,"Lettuce, Green Leaf",51.0
2010-01-26,California,California-south,Coachella Valley,"Lettuce, Red Leaf",34.0
2010-01-26,California,California-south,Coachella Valley,"Lettuce, Romaine",283.0
