model,avg_rmse,avg_mae
OLS Level (full),4.363088928233451,3.142169153722812
OLS Level (no lags),10.472983307796692,7.84796928541766
XGB Level (full),6.673492627000078,4.264313205457581
XGB Level (no lags),10.886309909239285,7.772687333986809
RF Level (full),6.812549803297993,4.322227618413645
RF Level (no lags),10.685938127807246,7.8164798542114236
OLS Δprice,5.108406233296081,3.6011861846453024
XGB Δprice,5.11581389719548,3.5625196196535125
RF Δprice,4.9974177990756425,3.4016379321263703
OLS log Δprice,5.15692176136625,3.499496205955211
XGB log Δprice,5.13059233365985,3.422376483881253
