test_year,n_train,n_test,ols_rmse,ols_mae,xgb_rmse,xgb_mae,improvement
2014,187,52,2.469823525813135,1.8609948177190685,2.592401041408225,1.714378945857772,-4.963007045401511
2015,239,52,3.6040153204583114,2.8312414060089073,5.391796852805054,3.883003264491883,-49.60527004972322
2016,291,52,2.6633717070708567,1.843175940885468,2.7541960988775096,1.8798000369558403,-3.4101282808376925
2017,343,52,4.92044494570669,3.404273417272932,6.540086353139147,4.17587045705869,-32.91656395516969
2018,395,52,5.115923618016859,2.93797072302758,5.99812303732268,3.689715109205131,-17.24418668408106
2019,447,53,4.608620829604803,3.7145733814771744,4.781554190171871,3.6327947521861765,-3.7523885552957834
2020,500,52,4.167881583832846,2.950394789859496,4.929223972629188,3.3618899832622,-18.266891068824485
2021,552,52,3.4055138478482854,2.712153437070045,2.8396020293057136,1.9878732855940862,16.617516293470167
2022,604,52,7.771871005324534,4.9288766069983865,23.308866458774745,12.647627584563647,-199.91319262511905
2023,656,48,4.624799368906362,3.1627355575659606,6.655319696349433,4.090418759689864,-43.905046802565046
2024,704,53,4.560049313992937,3.5263197325722855,6.234224215885873,4.588876958973418,-36.713964841467266
2025,757,52,4.159337171273957,2.969473429208765,5.570058348353701,3.830798907749506,-33.91697087754145
2026,809,14,4.586703767148957,4.0371256627120395,6.362883034292808,4.618137423625547,-38.72452543949451
